index,name,price,img,link
1,کتاب نیمه تاریک وجود اثر دبی فورد نشر آزرمیدخت,71500,"<img src='https://dkstatics-public.digikala.com/digikala-products/72c7d6cd88ddcae6c282401bbf7c46f076763179_1631041468.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-6367068/%DA%A9%D8%AA%D8%A7%D8%A8-%D9%86%DB%8C%D9%85%D9%87-%D8%AA%D8%A7%D8%B1%DB%8C%DA%A9-%D9%88%D8%AC%D9%88%D8%AF-%D8%A7%D8%AB%D8%B1-%D8%AF%D8%A8%DB%8C-%D9%81%D9%88%D8%B1%D8%AF-%D9%86%D8%B4%D8%B1-%D8%A2%D8%B2%D8%B1%D9%85%DB%8C%D8%AF%D8%AE%D8%AA/
2,کتاب بی حد و مرز اثر جیم کوییک نشر میلکان,85470,"<img src='https://dkstatics-public.digikala.com/digikala-products/9aea395b9042a495d513528ab61d406d7acd5faf_1658549418.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-3650200/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%A8%DB%8C-%D8%AD%D8%AF-%D9%88-%D9%85%D8%B1%D8%B2-%D8%A7%D8%AB%D8%B1-%D8%AC%DB%8C%D9%85-%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-%D9%86%D8%B4%D8%B1-%D9%85%DB%8C%D9%84%DA%A9%D8%A7%D9%86/
3,کتاب JavaScript Cookbook Third Edition اثر Adam D. Scott انتشارات Oreilly media,300000,"<img src='https://dkstatics-public.digikala.com/digikala-products/2dc2946f596ebbf628a089eb3221317f0350f011_1677920127.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-10820915/%DA%A9%D8%AA%D8%A7%D8%A8-javascript-cookbook-third-edition-%D8%A7%D8%AB%D8%B1-adam-d-scott-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-oreilly-media/
4,   کتاب Robust Python اثر Patrick Viafore انتشارات Oreilly media,250000,"<img src='https://dkstatics-public.digikala.com/digikala-products/c2803a4667c36e32ce639639442a1843a4b89c93_1678271639.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-10855874/%DA%A9%D8%AA%D8%A7%D8%A8-robust-python-%D8%A7%D8%AB%D8%B1-patrick-viafore-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-oreilly-media/
5,کتاب تکه هایی از یک کل منسجم اثر پونه مقیمی نشر بینش نو,113820,"<img src='https://dkstatics-public.digikala.com/digikala-products/8a3f77f331c91b344cb5a74f3653a7875ac93a5d_1658316361.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-1772600/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AA%DA%A9%D9%87-%D9%87%D8%A7%DB%8C%DB%8C-%D8%A7%D8%B2-%DB%8C%DA%A9-%DA%A9%D9%84-%D9%85%D9%86%D8%B3%D8%AC%D9%85-%D8%A7%D8%AB%D8%B1-%D9%BE%D9%88%D9%86%D9%87-%D9%85%D9%82%DB%8C%D9%85%DB%8C-%D9%86%D8%B4%D8%B1-%D8%A8%DB%8C%D9%86%D8%B4-%D9%86%D9%88/
6,کتاب چرا تا به حال کسی این‌ ها را به من نگفته بود ؟ اثر جولی اسمیت نشر میلکان ,88700,"<img src='https://dkstatics-public.digikala.com/digikala-products/43c19fdb512185a62817c7e869acd791b65f97f3_1658937107.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-9072881/%DA%A9%D8%AA%D8%A7%D8%A8-%DA%86%D8%B1%D8%A7-%D8%AA%D8%A7-%D8%A8%D9%87-%D8%AD%D8%A7%D9%84-%DA%A9%D8%B3%DB%8C-%D8%A7%DB%8C%D9%86-%D9%87%D8%A7-%D8%B1%D8%A7-%D8%A8%D9%87-%D9%85%D9%86-%D9%86%DA%AF%D9%81%D8%AA%D9%87-%D8%A8%D9%88%D8%AF-%D8%A7%D8%AB%D8%B1-%D8%AC%D9%88%D9%84%DB%8C-%D8%A7%D8%B3%D9%85%DB%8C%D8%AA-%D9%86%D8%B4%D8%B1-%D9%85%DB%8C%D9%84%DA%A9%D8%A7%D9%86/
7,کتاب جرات داشته باش راه های افزایش اعتماد به نفس اثر فردریک فانژه انتشارات شمعدونی,147400,"<img src='https://dkstatics-public.digikala.com/digikala-products/83d34ec8c825702ee2c9526697c74e3a32b99197_1658563939.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-1460366/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AC%D8%B1%D8%A7%D8%AA-%D8%AF%D8%A7%D8%B4%D8%AA%D9%87-%D8%A8%D8%A7%D8%B4-%D8%B1%D8%A7%D9%87-%D9%87%D8%A7%DB%8C-%D8%A7%D9%81%D8%B2%D8%A7%DB%8C%D8%B4-%D8%A7%D8%B9%D8%AA%D9%85%D8%A7%D8%AF-%D8%A8%D9%87-%D9%86%D9%81%D8%B3-%D8%A7%D8%AB%D8%B1-%D9%81%D8%B1%D8%AF%D8%B1%DB%8C%DA%A9-%D9%81%D8%A7%D9%86%DA%98%D9%87-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B4%D9%85%D8%B9%D8%AF%D9%88%D9%86%DB%8C/
8,کتاب خودت را به فنا نده اثر گری جان بیشاپ,54700,"<img src='https://dkstatics-public.digikala.com/digikala-products/8d2acca586d16a004bab0fb6c8f86a911cd9e313_1658549204.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-1050124/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AE%D9%88%D8%AF%D8%AA-%D8%B1%D8%A7-%D8%A8%D9%87-%D9%81%D9%86%D8%A7-%D9%86%D8%AF%D9%87-%D8%A7%D8%AB%D8%B1-%DA%AF%D8%B1%DB%8C-%D8%AC%D8%A7%D9%86-%D8%A8%DB%8C%D8%B4%D8%A7%D9%BE/
9,کتاب جن شناسی، بر اساس تحقیقات اد و لورین وارن اثر جرالد بریتل انتشارات سبزان,199000,"<img src='https://dkstatics-public.digikala.com/digikala-products/70d43c41d894d5cc6d4e04242686e02444cd8845_1594703020.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-3084758/%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AC%D9%86-%D8%B4%D9%86%D8%A7%D8%B3%DB%8C-%D8%A8%D8%B1-%D8%A7%D8%B3%D8%A7%D8%B3-%D8%AA%D8%AD%D9%82%DB%8C%D9%82%D8%A7%D8%AA-%D8%A7%D8%AF-%D9%88-%D9%84%D9%88%D8%B1%DB%8C%D9%86-%D9%88%D8%A7%D8%B1%D9%86-%D8%A7%D8%AB%D8%B1-%D8%AC%D8%B1%D8%A7%D9%84%D8%AF-%D8%A8%D8%B1%DB%8C%D8%AA%D9%84-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B3%D8%A8%D8%B2%D8%A7%D9%86/
10,کتاب پدر پولدار پدر بی پول اثر رابرت کیوساکی نشر آبیژ,108000,"<img src='https://dkstatics-public.digikala.com/digikala-products/0901d610ad1c0e1df283a0844b15fc9e1e4290e5_1648811274.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/quality,q_80' height='80' />",https://www.digikala.com/product/dkp-8178080/%DA%A9%D8%AA%D8%A7%D8%A8-%D9%BE%D8%AF%D8%B1-%D9%BE%D9%88%D9%84%D8%AF%D8%A7%D8%B1-%D9%BE%D8%AF%D8%B1-%D8%A8%DB%8C-%D9%BE%D9%88%D9%84-%D8%A7%D8%AB%D8%B1-%D8%B1%D8%A7%D8%A8%D8%B1%D8%AA-%DA%A9%DB%8C%D9%88%D8%B3%D8%A7%DA%A9%DB%8C-%D9%86%D8%B4%D8%B1-%D8%A2%D8%A8%DB%8C%DA%98/
